MSA,Metric,Profiles
"Las Vegas-Henderson-Paradise, NV",Certified Information System Auditor (CISA),28
"Las Vegas-Henderson-Paradise, NV",Certified Information Systems Security Professional,128
"Las Vegas-Henderson-Paradise, NV",Cisco Certified Network Associate,78
"Las Vegas-Henderson-Paradise, NV",Cisco Certified Network Professional,15
"Las Vegas-Henderson-Paradise, NV",CompTIA Security+,183
"Las Vegas-Henderson-Paradise, NV",GIAC Certifications,62
"Las Vegas-Henderson-Paradise, NV",GIAC Certified Incident Handler,20
"Las Vegas-Henderson-Paradise, NV",GIAC Security Essentials Certification,16
"Las Vegas-Henderson-Paradise, NV",ITIL Certifications,32
"Las Vegas-Henderson-Paradise, NV",Microsoft Certified Systems Engineer,25
"Los Angeles-Long Beach-Anaheim, CA",Certified Ethical Hacker,212
"Los Angeles-Long Beach-Anaheim, CA",Certified Information Security Manager,248
"Los Angeles-Long Beach-Anaheim, CA",Certified Information System Auditor (CISA),201
"Los Angeles-Long Beach-Anaheim, CA",Certified Information Systems Security Professional,641
"Los Angeles-Long Beach-Anaheim, CA",Cisco Certified Network Associate,303
"Los Angeles-Long Beach-Anaheim, CA",Cisco Certified Network Professional,80
"Los Angeles-Long Beach-Anaheim, CA",CompTIA Security+,435
"Los Angeles-Long Beach-Anaheim, CA",GIAC Certifications,185
"Los Angeles-Long Beach-Anaheim, CA",GIAC Certified Incident Handler,55
"Los Angeles-Long Beach-Anaheim, CA",GIAC Security Essentials Certification,53
"Los Angeles-Long Beach-Anaheim, CA",ITIL Certifications,141
"Los Angeles-Long Beach-Anaheim, CA",Microsoft Certified Systems Engineer,146
"Los Angeles-Long Beach-Anaheim, CA",NIST Cybersecurity Framework (CSF),22
"Louisville/Jefferson County, KY-IN",Certified Ethical Hacker,31
"Louisville/Jefferson County, KY-IN",Certified Information Security Manager,25
"Louisville/Jefferson County, KY-IN",Certified Information System Auditor (CISA),20
"Louisville/Jefferson County, KY-IN",Certified Information Systems Security Professional,52
"Louisville/Jefferson County, KY-IN",Cisco Certified Network Associate,25
"Louisville/Jefferson County, KY-IN",Cisco Certified Network Professional,7
"Louisville/Jefferson County, KY-IN",CompTIA Security+,66
"Louisville/Jefferson County, KY-IN",GIAC Certifications,19
"Louisville/Jefferson County, KY-IN",GIAC Certified Incident Handler,7
"Louisville/Jefferson County, KY-IN",GIAC Security Essentials Certification,7
"Louisville/Jefferson County, KY-IN",ITIL Certifications,13
"Louisville/Jefferson County, KY-IN",Microsoft Certified Systems Engineer,12
"Memphis, TN-MS-AR",Certified Ethical Hacker,23
"Memphis, TN-MS-AR",Certified Information Security Manager,18
"Memphis, TN-MS-AR",Certified Information System Auditor (CISA),15
"Memphis, TN-MS-AR",Certified Information Systems Security Professional,62
"Memphis, TN-MS-AR",Cisco Certified Network Associate,24
"Memphis, TN-MS-AR",Cisco Certified Network Professional,7
"Memphis, TN-MS-AR",CompTIA Security+,60
"Memphis, TN-MS-AR",GIAC Certifications,13
"Memphis, TN-MS-AR",GIAC Certified Incident Handler,5
"Memphis, TN-MS-AR",GIAC Security Essentials Certification,6
"Memphis, TN-MS-AR",ITIL Certifications,15
"Memphis, TN-MS-AR",Microsoft Certified Systems Engineer,15
"Memphis, TN-MS-AR",NIST Cybersecurity Framework (CSF),3
"Miami-Fort Lauderdale-Pompano Beach, FL",Certified Ethical Hacker,130
"Miami-Fort Lauderdale-Pompano Beach, FL",Certified Information Security Manager,94
"Miami-Fort Lauderdale-Pompano Beach, FL",Certified Information System Auditor (CISA),92
"Miami-Fort Lauderdale-Pompano Beach, FL",Certified Information Systems Security Professional,275
"Miami-Fort Lauderdale-Pompano Beach, FL",Cisco Certified Network Associate,180
"Miami-Fort Lauderdale-Pompano Beach, FL",Cisco Certified Network Professional,36
